capacity,seed,heuristic,n_orders,orders_completed,terminated_early,makespan_sec
7,135,Order Driven,15,2,1,100000.0
7,136,Assignment First,14,1,1,100000.0
7,136,FIFO,14,5,1,100000.0
7,136,Greedy,14,4,1,100000.0
7,136,Order Driven,14,3,1,100000.0
7,137,Assignment First,10,10,0,52.0
7,137,FIFO,10,10,0,60.0
7,137,Greedy,10,3,1,100000.0
7,137,Order Driven,10,6,1,100000.0
7,138,Assignment First,11,11,0,53.0
7,138,FIFO,11,4,1,100000.0
7,138,Greedy,11,3,1,100000.0
7,138,Order Driven,11,5,1,100000.0
7,139,Assignment First,10,10,0,62.0
7,139,FIFO,10,0,1,100000.0
7,139,Greedy,10,2,1,100000.0
7,139,Order Driven,10,2,1,100000.0
7,140,Assignment First,10,10,0,49.0
7,140,FIFO,10,10,0,48.0
7,140,Greedy,10,10,0,58.0
7,140,Order Driven,10,3,1,100000.0
7,141,Assignment First,14,14,0,75.0
7,141,FIFO,14,2,1,100000.0
7,141,Greedy,14,7,1,100000.0
7,141,Order Driven,14,6,1,100000.0
7,142,Assignment First,14,4,1,100000.0
7,142,FIFO,14,3,1,100000.0
7,142,Greedy,14,1,1,100000.0
7,142,Order Driven,14,2,1,100000.0
7,143,Assignment First,11,1,1,100000.0
7,143,FIFO,11,6,1,100000.0
7,143,Greedy,11,1,1,100000.0
7,143,Order Driven,11,7,1,100000.0
7,144,Assignment First,13,3,1,100000.0
7,144,FIFO,13,2,1,100000.0
7,144,Greedy,13,3,1,100000.0
7,144,Order Driven,13,5,1,100000.0
7,145,Assignment First,13,1,1,100000.0
7,145,FIFO,13,2,1,100000.0
7,145,Greedy,13,2,1,100000.0
7,145,Order Driven,13,5,1,100000.0
7,146,Assignment First,11,11,0,39.0
7,146,FIFO,11,5,1,100000.0
7,146,Greedy,11,6,1,100000.0
7,146,Order Driven,11,2,1,100000.0
7,147,Assignment First,14,4,1,100000.0
7,147,FIFO,14,2,1,100000.0
7,147,Greedy,14,1,1,100000.0
7,147,Order Driven,14,2,1,100000.0
7,148,Assignment First,13,13,0,80.0
7,148,FIFO,13,1,1,100000.0
7,148,Greedy,13,0,1,100000.0
7,148,Order Driven,13,3,1,100000.0
7,149,Assignment First,10,5,1,100000.0
7,149,FIFO,10,4,1,100000.0
7,149,Greedy,10,7,1,100000.0
7,149,Order Driven,10,10,0,42.0
10,100,Assignment First,11,11,0,44.0
10,100,FIFO,11,3,1,100000.0
10,100,Greedy,11,11,0,51.0
10,100,Order Driven,11,11,0,87.0
10,101,Assignment First,14,14,0,58.0
10,101,FIFO,14,5,1,100000.0
10,101,Greedy,14,3,1,100000.0
10,101,Order Driven,14,1,1,100000.0
10,102,Assignment First,11,6,1,100000.0
10,102,FIFO,11,3,1,100000.0
10,102,Greedy,11,3,1,100000.0
10,102,Order Driven,11,7,1,100000.0
10,103,Assignment First,15,2,1,100000.0
10,103,FIFO,15,15,0,65.0
10,103,Greedy,15,1,1,100000.0
10,103,Order Driven,15,4,1,100000.0
10,104,Assignment First,10,6,1,100000.0
10,104,FIFO,10,3,1,100000.0
10,104,Greedy,10,7,1,100000.0
10,104,Order Driven,10,3,1,100000.0
10,105,Assignment First,14,2,1,100000.0
10,105,FIFO,14,2,1,100000.0
10,105,Greedy,14,0,1,100000.0
10,105,Order Driven,14,3,1,100000.0
10,106,Assignment First,15,0,1,100000.0
10,106,FIFO,15,8,1,100000.0
10,106,Greedy,15,3,1,100000.0
10,106,Order Driven,15,3,1,100000.0
10,107,Assignment First,11,11,0,61.0
10,107,FIFO,11,2,1,100000.0
10,107,Greedy,11,11,0,94.0
10,107,Order Driven,11,1,1,100000.0
10,108,Assignment First,11,6,1,100000.0
10,108,FIFO,11,11,0,89.0
10,108,Greedy,11,4,1,100000.0
10,108,Order Driven,11,2,1,100000.0
10,109,Assignment First,12,6,1,100000.0
10,109,FIFO,12,2,1,100000.0
10,109,Greedy,12,8,1,100000.0
10,109,Order Driven,12,12,0,58.0
10,110,Assignment First,13,2,1,100000.0
10,110,FIFO,13,1,1,100000.0
10,110,Greedy,13,1,1,100000.0
10,110,Order Driven,13,13,0,66.0
10,111,Assignment First,11,0,1,100000.0
10,111,FIFO,11,11,0,66.0
10,111,Greedy,11,0,1,100000.0
10,111,Order Driven,11,4,1,100000.0
10,112,Assignment First,13,4,1,100000.0
10,112,FIFO,13,13,0,84.0
10,112,Greedy,13,0,1,100000.0
10,112,Order Driven,13,1,1,100000.0
10,113,Assignment First,10,4,1,100000.0
10,113,FIFO,10,1,1,100000.0
10,113,Greedy,10,2,1,100000.0
10,113,Order Driven,10,3,1,100000.0
10,114,Assignment First,11,4,1,100000.0
10,114,FIFO,11,5,1,100000.0
10,114,Greedy,11,3,1,100000.0
10,114,Order Driven,11,6,1,100000.0
10,115,Assignment First,12,3,1,100000.0
10,115,FIFO,12,3,1,100000.0
10,115,Greedy,12,4,1,100000.0
10,115,Order Driven,12,12,0,69.0
10,116,Assignment First,15,3,1,100000.0
10,116,FIFO,15,0,1,100000.0
10,116,Greedy,15,0,1,100000.0
10,116,Order Driven,15,2,1,100000.0
10,117,Assignment First,11,2,1,100000.0
10,117,FIFO,11,11,0,51.0
10,117,Greedy,11,2,1,100000.0
10,117,Order Driven,11,11,0,58.0
10,118,Assignment First,15,13,1,100000.0
10,118,FIFO,15,1,1,100000.0
10,118,Greedy,15,2,1,100000.0
10,118,Order Driven,15,3,1,100000.0
10,119,Assignment First,12,12,0,61.0
